"id","name","weight","calories","link"
35,ÀüÁÖÄá³ª¹°±¹¹ä,"900",432,https://www.coupang.com/vp/products/7573231434?itemId=19976743204&vendorItemId=87075119574&q=%EC%A0%84%EC%A3%BC%20%EC%BD%A9%EB%82%98%EB%AC%BC%EA%B5%AD%EB%B0%A5&searchId=3c65703613395154&sourceType=search&itemsCount=33&searchRank=5&rank=5&traceId=mimk90ty
36,ÇØ¹°µ¤¹ä,"700",838,https://www.coupang.com/vp/products/8510819864?itemId=24635331493&vendorItemId=92335692580&q=%ED%95%B4%EB%AC%BC%EB%8D%AE%EB%B0%A5&searchId=66ecb54911450364&sourceType=search&itemsCount=36&searchRank=3&rank=3&traceId=mimk9l6d
37,È¸µ¤¹ä,"500",698,
38,¼Ò¸Ó¸®±¹¹ä,"1100",891,https://www.coupang.com/vp/products/9086847957?itemId=26699724543&vendorItemId=93671586485&q=%EC%86%8C%EB%A8%B8%EB%A6%AC%EA%B5%AD%EB%B0%A5&searchId=cc50ceb110356763&sourceType=search&itemsCount=36&searchRank=7&rank=7&traceId=mimka88d
39,µÅÁö±¹¹ä,"1200",811,https://www.coupang.com/vp/products/2233509625?itemId=3811492475&vendorItemId=71796395164&sourceType=srp_product_ads&clickEventId=e1e27670-ce61-11f0-9af1-3c6dcd4ce318&korePlacement=15&koreSubPlacement=5&clickEventId=e1e27670-ce61-11f0-9af1-3c6dcd4ce318&korePlacement=15&koreSubPlacement=5&traceId=mimkakbw
40,ÇÏÀÌ¶óÀÌ½º,"360",478,https://www.coupang.com/vp/products/7124185137?itemId=17844982676&vendorItemId=84723563697&q=%ED%95%98%EC%9D%B4%EB%9D%BC%EC%9D%B4%EC%8A%A4&searchId=1c20fa3a16250383&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkasgt
41,±èÄ¡±è¹ä,"250",377,https://www.coupang.com/vp/products/8866049757?itemId=25857413689&vendorItemId=92843780302&q=%EA%B9%80%EC%B9%98%EA%B9%80%EB%B0%A5&searchId=1fda7c3e2522107&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkb245
42,³ó¾îÃÊ¹ä,"250",415,https://www.coupang.com/vp/products/8156959649?itemId=23240751475&vendorItemId=90273181349&q=%EB%86%8D%EC%96%B4%20%EC%B4%88%EB%B0%A5&searchId=f59a1ce015626981&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mimkbcr9
43,¹®¾îÃÊ¹ä,"250",378,https://www.coupang.com/vp/products/6979135630?itemId=17043233522&vendorItemId=84218028317&pickType=COU_PICK&q=%EB%AC%B8%EC%96%B4%EC%B4%88%EB%B0%A5&searchId=5ad9ea662322163&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mimkbkos
44,»õ¿ìÃÊ¹ä,"250",396,https://www.coupang.com/vp/products/8665869397?itemId=25152179307&vendorItemId=92150567331&q=%EC%83%88%EC%9A%B0%EC%B4%88%EB%B0%A5&searchId=4077517719399701&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkbsv1
45,»õ¿ìÆ¢±è·Ñ,"300",572,https://www.coupang.com/vp/products/175361062?itemId=501238723&vendorItemId=71162200928&q=%EC%83%88%EC%9A%B0%ED%8A%80%EA%B9%80%EB%A1%A4&searchId=5f5b09593044640&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkcfz3
46,»ø·¯µå±è¹ä,"250",422,https://www.coupang.com/vp/products/9089270999?itemId=26739720359&vendorItemId=93710985266&q=%EC%83%90%EB%9F%AC%EB%93%9C%20%EA%B9%80%EB%B0%A5&searchId=6d9ee3a213409624&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mimkcqjo
47,±¤¾îÃÊ¹ä,"300",472,https://www.coupang.com/vp/products/339173249?itemId=1080557141&vendorItemId=5581529002&pickType=COU_PICK&q=%EA%B4%91%EC%96%B4%EC%B4%88%EB%B0%A5&searchId=e608af1319837512&sourceType=search&itemsCount=36&searchRank=6&rank=6&traceId=mimkd6t7
48,¼Ò°í±â±è¹ä,"250",426,https://www.coupang.com/vp/products/7634539806?itemId=20623030728&vendorItemId=87697202318&q=%EC%86%8C%EA%B3%A0%EA%B8%B0%20%EA%B9%80%EB%B0%A5&searchId=878a0bd217112474&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mimkdr3v
49,°¥ºñ»ï°¢±è¹ä,"100",183,
50,¿¬¾î·Ñ ,"300",519,""
51,¿¬¾îÃÊ¹ä,"250",451,
52,À¯ºÎÃÊ¹ä,"250",463,https://www.coupang.com/vp/products/7597338512?itemId=20089251115&vendorItemId=87184647427&sourceType=srp_product_ads&clickEventId=82677320-ce62-11f0-b20f-6f92e8ebd078&korePlacement=15&koreSubPlacement=1&clickEventId=82677320-ce62-11f0-b20f-6f92e8ebd078&korePlacement=15&koreSubPlacement=1&traceId=mimkg7hm
53,Àå¾îÃÊ¹ä,"400",486,https://www.coupang.com/vp/products/9031396007?itemId=26490853179&vendorItemId=93465735797&q=%EC%9E%A5%EC%96%B4%EC%B4%88%EB%B0%A5&searchId=fa7f578324683875&sourceType=search&itemsCount=35&searchRank=0&rank=0&traceId=mimkgr82
54,ÂüÄ¡±è¹ä,"250",401,https://www.coupang.com/vp/products/9089270999?itemId=26739720359&vendorItemId=93710985266&q=%EC%B0%B8%EC%B9%98%EA%B9%80%EB%B0%A5&searchId=4e51864623458381&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mimkgj7e
55,ÂüÄ¡¸¶¿ä»ï°¢±è¹ä,"100",190,https://www.coupang.com/vp/products/8687721625?itemId=25222599427&vendorItemId=92218940049&q=%EC%B0%B8%EC%B9%98%EB%A7%88%EC%9A%94%EC%82%BC%EA%B0%81%EA%B9%80%EB%B0%A5&searchId=f0519a052550617&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkh1tt
56,Ä¡Áî±è¹ä ,"250",462,https://www.coupang.com/vp/products/1369086043?itemId=19272336673&vendorItemId=86387503439&q=%EC%B9%98%EC%A6%88%EA%B9%80%EB%B0%A5&searchId=1a7a82f14471329&sourceType=search&itemsCount=36&searchRank=11&rank=11&traceId=mimkhhcp
57,Ä¶¸®Æ÷´Ï¾Æ·Ñ,"300",468,https://www.coupang.com/vp/products/8723254464?itemId=25340353809&vendorItemId=92335041992&q=%EC%97%B0%EC%96%B4%EB%A1%A4&searchId=2b7b16ad16424324&sourceType=search&itemsCount=34&searchRank=2&rank=2&traceId=mimkexc6
58,ÇÑÄ¡ÃÊ¹ä,"250",390,https://www.coupang.com/vp/products/8075140488?itemId=22745660403&vendorItemId=89780883874&sourceType=srp_product_ads&clickEventId=acff1340-ce62-11f0-bdd6-c7d65945c71c&korePlacement=15&koreSubPlacement=1&clickEventId=acff1340-ce62-11f0-bdd6-c7d65945c71c&korePlacement=15&koreSubPlacement=1&traceId=mimkhrn5
59,ÀÏ¹Ý±è¹ä,"200",349,https://www.coupang.com/vp/products/8316628441?itemId=24320543749&vendorItemId=91336294320&q=%EC%9D%BC%EB%B0%98%EA%B9%80%EB%B0%A5&searchId=414ba5f32674573&sourceType=search&itemsCount=34&searchRank=2&rank=2&traceId=mimki6ei
60,°£ÀÚÀå,"650",808,https://www.coupang.com/vp/products/8598190032?itemId=24925136765&vendorItemId=88779852576&pickType=COU_PICK&q=%EA%B0%84%EC%A7%9C%EC%9E%A5&searchId=25748bcd16627303&sourceType=search&itemsCount=34&searchRank=1&rank=1&traceId=mimkifn7
61,±¼Â«»Í,"900",641,https://www.coupang.com/vp/products/6859913680?itemId=3972097144&vendorItemId=71956450368&q=%EA%B5%B4%EC%A7%AC%EB%BD%95&searchId=94a2c0d817998618&sourceType=search&itemsCount=33&searchRank=1&rank=1&traceId=mimkj1mj
62,±â½º¸é,"1000",646,
63,±èÄ¡¶ó¸é,"650",512,https://www.coupang.com/vp/products/1067207282?itemId=19421896956&vendorItemId=86533356143&q=%EA%B9%80%EC%B9%98%EB%9D%BC%EB%A9%B4&searchId=c17c58d52511609&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkjqcg
64,±èÄ¡¿ìµ¿,"800",513,https://www.coupang.com/vp/products/7802318002?itemId=21215108026&vendorItemId=88276184136&sourceType=srp_product_ads&clickEventId=ef108700-ce62-11f0-a184-f7d9c16df39e&korePlacement=15&koreSubPlacement=9&clickEventId=ef108700-ce62-11f0-a184-f7d9c16df39e&korePlacement=15&koreSubPlacement=9&traceId=mimkkhco
65,±èÄ¡¸»ÀÌ±¹¼ö,"600",310,https://www.coupang.com/vp/products/8106601334?itemId=22948525323&vendorItemId=89982817638&pickType=COU_PICK&q=%EA%B9%80%EC%B9%98%EB%A7%90%EC%9D%B4%EA%B5%AD%EC%88%98&searchId=c0efbf5d16801900&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkkqpb
66,´ßÄ®±¹¼ö,"900",643,https://www.coupang.com/vp/products/9136640141?itemId=26947193568&vendorItemId=93916308622&sourceType=srp_product_ads&clickEventId=067c29d0-ce63-11f0-9204-148eb94d41c3&korePlacement=15&koreSubPlacement=1&clickEventId=067c29d0-ce63-11f0-9204-148eb94d41c3&korePlacement=15&koreSubPlacement=1&traceId=mimkkzkp
67,µé±úÄ®±¹¼ö,"600",442,https://www.coupang.com/vp/products/332190131?itemId=18171747420&vendorItemId=85321089267&pickType=COU_PICK&q=%EB%93%A4%EA%B9%A8%EC%B9%BC%EA%B5%AD%EC%88%98&searchId=d996e1a2357872&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimklaf3
68,¶±¶ó¸é,"700",672,
69,¶ó¸é,"550",509,https://www.coupang.com/vp/products/7958974?itemId=1035120754&vendorItemId=3000987832&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=e63251f29543712&q=%EB%9D%BC%EB%A9%B4
70,¸·±¹¼ö,"550",567,https://www.coupang.com/vp/products/8599848649?itemId=24940650583&vendorItemId=91946668388&sourceType=srp_product_ads&clickEventId=252f5af0-ce63-11f0-8de3-730cc79c1d21&korePlacement=15&koreSubPlacement=1&clickEventId=252f5af0-ce63-11f0-8de3-730cc79c1d21&korePlacement=15&koreSubPlacement=1&traceId=mimkm2cm
71,¸Þ¹Ð±¹¼ö,"600",589,https://www.coupang.com/vp/products/992935?itemId=14018979391&vendorItemId=81267507407&q=%EB%A9%94%EB%B0%80%EA%B5%AD%EC%88%98&searchId=2654d5d218829652&sourceType=search&itemsCount=32&searchRank=1&rank=1&traceId=mimkmau6
72,¹°³Ã¸é,"800",580,https://www.coupang.com/vp/products/6422976234?itemId=13827123080&vendorItemId=81077319519&q=%EB%AC%BC%EB%83%89%EB%A9%B4&searchId=aafbd31816459695&sourceType=search&itemsCount=36&searchRank=5&rank=5&traceId=mimkmjs7
73,ºñºö±¹¼ö,"550",577,https://www.coupang.com/vp/products/7689860082?itemId=20561451058&vendorItemId=86203376115&q=%EB%B9%84%EB%B9%94%EA%B5%AD%EC%88%98&searchId=162a453c18011083&sourceType=search&itemsCount=34&searchRank=1&rank=1&traceId=mimkmqj2
74,ºñºö³Ã¸é,"550",594,https://www.coupang.com/vp/products/6422977987?itemId=13827131802&vendorItemId=81077328418&q=%EB%B9%84%EB%B9%94%EB%83%89%EB%A9%B4&searchId=271f096411385148&sourceType=search&itemsCount=34&searchRank=2&rank=2&traceId=mimkmyue
75,»ï¼±¿ìµ¿,"1000",692,
76,»ï¼±ÀÚÀå¸é,"700",788,https://www.coupang.com/vp/products/7355693147?itemId=19032597450&vendorItemId=85068268599&q=%EC%82%BC%EC%84%A0%EC%9E%90%EC%9E%A5&searchId=592414f511544479&sourceType=search&itemsCount=36&searchRank=3&rank=3&traceId=mimknij2
77,»ï¼±Â«»Í,"900",629,https://www.coupang.com/vp/products/7560721597?itemId=19918451300&vendorItemId=88223576648&q=%EC%82%BC%EC%84%A0%EC%A7%AC%EB%BD%95&searchId=b386ce0f3200067&sourceType=search&itemsCount=35&searchRank=1&rank=1&traceId=mimknujy
78,¼öÁ¦ºñ,"800",622,https://www.coupang.com/vp/products/8984595293?itemId=26309937214&vendorItemId=93287523382&sourceType=srp_product_ads&clickEventId=5d866ba0-ce63-11f0-bbd8-e044525db762&korePlacement=15&koreSubPlacement=1&clickEventId=5d866ba0-ce63-11f0-bbd8-e044525db762&korePlacement=15&koreSubPlacement=1&traceId=mimko3h7
79,½Ò±¹¼ö,"600",321,https://www.coupang.com/vp/products/6498730223?itemId=15206347166&vendorItemId=89424092056&pickType=COU_PICK&q=%EC%8C%80%EA%B5%AD%EC%88%98&searchId=6a47ce2113464438&sourceType=search&itemsCount=35&searchRank=1&rank=1&traceId=mimkod2h
80,¿­¹«±èÄ¡±¹¼ö,"800",488,https://www.coupang.com/vp/products/8181376555?itemId=23392300042&vendorItemId=90133936759&q=%EC%97%B4%EB%AC%B4%EA%B9%80%EC%B9%98%EA%B5%AD%EC%88%98&searchId=787af3f59474338&sourceType=search&itemsCount=35&searchRank=3&rank=3&traceId=mimkowcl
81,¿ÀÀÏ¼Ò½º½ºÆÄ°ÔÆ¼,"400",627,https://www.coupang.com/vp/products/17410475?itemId=18915001075&vendorItemId=3113011989&q=%EC%98%A4%EC%9D%BC%EC%86%8C%EC%8A%A4%EC%8A%A4%ED%8C%8C%EA%B2%8C%ED%8B%B0&searchId=05bac8d613463964&sourceType=search&itemsCount=35&searchRank=0&rank=0&traceId=mimkp8da
82,ÀÏ½Ä¿ìµ¿,"700",421,https://www.coupang.com/vp/products/7410663684?itemId=19200341406&vendorItemId=86317706642&sourceType=srp_product_ads&clickEventId=82686810-ce63-11f0-829f-e096c2d2408b&korePlacement=15&koreSubPlacement=1&clickEventId=82686810-ce63-11f0-829f-e096c2d2408b&korePlacement=15&koreSubPlacement=1&traceId=mimkpiz9
83,ººÀ½¿ìµ¿,"300",378,https://www.coupang.com/vp/products/332190185?itemId=18172695344&vendorItemId=85321992852&q=%EB%B3%B6%EC%9D%8C%EC%9A%B0%EB%8F%99&searchId=d3d30cc63840308&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mimkpvlk
84,ÀÚÀå¸é,"650",761,https://www.coupang.com/vp/products/1587100?itemId=12257147&vendorItemId=91893593393&q=%EC%9E%90%EC%9E%A5%EB%A9%B4&searchId=6be4f0604438595&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkq3bo
85,ÀÜÄ¡±¹¼ö,"700",564,https://www.coupang.com/vp/products/7811866057?itemId=21401399945&vendorItemId=88458017449&sourceType=srp_product_ads&clickEventId=9c880750-ce63-11f0-87f2-9b7e76324a7f&korePlacement=15&koreSubPlacement=1&clickEventId=9c880750-ce63-11f0-87f2-9b7e76324a7f&korePlacement=15&koreSubPlacement=1&traceId=mimkqhth
86,Â«»Í,"1000",650,https://www.coupang.com/vp/products/5510162234?itemId=8586237099&vendorItemId=75873535773&sourceType=srp_product_ads&clickEventId=a5e55640-ce63-11f0-9f51-ae52a501cb39&korePlacement=15&koreSubPlacement=5&clickEventId=a5e55640-ce63-11f0-9f51-ae52a501cb39&korePlacement=15&koreSubPlacement=5&traceId=mimkr08d
87,Â«»Í¶ó¸é,"750",633,https://www.coupang.com/vp/products/70412464?itemId=21163609360&vendorItemId=3000081690&q=%EC%A7%AC%EB%BD%95&searchId=7636d1ec18033047&sourceType=search&itemsCount=35&searchRank=3&rank=3&traceId=mimkquj2
88,ÂÌ¸é,"450",622,https://www.coupang.com/vp/products/8670333483?itemId=25800660668&vendorItemId=85072684632&q=%EC%AB%84%EB%A9%B4&searchId=5c829c8216479558&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mimkre17
89,Ä¡Áî¶ó¸é,"600",599,https://www.coupang.com/vp/products/37612308?itemId=3892095116&vendorItemId=75093903392&q=%EC%B9%98%EC%A6%88%EB%9D%BC%EB%A9%B4&searchId=d97e4e019617413&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkrl53
90,Äá±¹¼ö,"800",624,https://www.coupang.com/vp/products/7133930111?itemId=23093251316&vendorItemId=90126655188&pickType=COU_PICK&q=%EC%BD%A9%EA%B5%AD%EC%88%98&searchId=0b97b2fa19443579&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimkrsu5
